Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. nach � 24 II EuWO;Wahlb. insges.;W�hler;dav. mit Wahlschein;Ung�lt. Stimmen;G�ltige Stimmen;CDU;SPD;GR�NE;AfD;FDP;DIE LINKE;FREIE W�HLER;PIRATEN;Tierschutzpartei;�DP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;B�ndnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;�koLinX;Die Humanisten;PARTEI F�R DIE TIERE;Gesundheitsforschung;VOLT
295;GPR, Marktplatz 11 Z. 4+5     ;0;0;0;0;800;800;16;784;215;114;205;48;102;25;11;2;10;7;0;22;0;2;1;1;0;1;1;1;1;1;0;0;3;0;0;0;0;0;1;0;2;0;0;0;1;0;1;6
296;Rathaus Heilbronn, Seminarraum;0;0;0;0;694;694;7;687;150;122;171;72;57;25;17;7;8;9;4;16;1;2;2;0;1;0;0;0;0;5;0;0;0;0;1;1;3;0;0;2;3;0;0;1;1;0;0;6
390;B�rgeramt B�ckingen           ;0;0;0;0;768;768;19;749;226;150;136;78;69;10;15;6;11;8;0;15;2;2;0;0;0;1;0;3;2;0;0;0;0;0;0;0;1;1;1;3;1;1;0;0;0;1;4;2
391;Stabsstelle I/107, Lohtorstr. ;0;0;0;0;722;722;7;715;187;139;145;83;60;19;13;4;8;6;1;10;2;2;3;2;0;0;1;3;1;5;1;1;4;0;0;0;0;0;1;0;5;0;0;3;0;0;0;6
490;Rathaus Heilbronn, Zimmer 104 ;0;0;0;0;607;607;24;583;146;112;105;73;50;20;17;5;7;7;4;16;0;1;1;1;0;0;2;1;0;1;0;0;2;0;2;0;2;0;1;0;0;0;0;1;0;3;1;2
590;Rathaus Heilbronn, Pausenraum ;0;0;0;0;456;456;10;446;100;74;113;44;46;18;8;5;5;11;0;11;0;3;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3
591;Rathaus Heilbronn, Kl. Ratssaa;0;0;0;0;439;439;3;436;158;70;81;49;31;7;9;3;2;8;0;3;0;1;2;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;3;0;2;0;0;0;1;1;0;0
690;Rathaus Heilbronn, Zimmer 162 ;0;0;0;0;291;291;11;280;88;54;43;33;16;6;8;1;5;9;0;7;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1
790;B�rgeramt Frankenbach Z. 2.03 ;0;0;0;0;526;526;16;510;149;93;77;82;35;11;17;7;4;0;1;9;2;2;1;1;2;0;2;0;3;4;1;0;2;0;0;2;0;0;0;0;0;1;0;0;0;1;0;1
890;B�rgeramt Kirchhausen Deutschr;0;0;0;0;349;349;3;346;145;44;60;41;16;3;7;2;6;2;1;9;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;2
990;B�rgeramt Biberach Besprechung;0;0;0;0;532;532;15;517;195;106;75;48;45;10;9;0;7;4;0;4;2;0;2;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;2
1090;B�rgeramt Horkheim, Sitzungssa;0;0;0;0;379;379;6;373;120;81;68;30;25;9;14;1;3;7;1;6;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2
